,amount,v1,v2,v3,v4,v5,v6,v7,time,class
2207,495.77,-1.82,-2.04,-1.7,0.31,-0.75,-0.78,1.61,405,0
2208,239.68,1.18,-2.73,1.68,-0.77,0.1,0.05,-0.3,435,0
2209,414.23,-0.95,0.86,0.79,1.81,-0.64,-0.26,0.43,437,0
2210,93.82,2.73,0.96,-2.67,-0.69,0.54,-0.79,1.34,364,0
2211,81.68,-2.82,-1.48,-2.16,0.39,-0.92,0.41,-0.19,356,0
2212,439.48,1.87,-2.6,-1.77,-0.78,-0.62,-0.05,0.34,84,0
2213,151.43,2.39,2.83,0.74,1.7,0.27,0.75,0.99,368,0
2214,315.0,0.4,0.98,0.88,1.91,-0.87,-1.01,1.48,224,0
2215,444.84,2.53,0.52,0.29,-0.62,0.48,0.83,1.54,468,0
2216,285.91,2.92,-0.31,-2.29,-0.36,-0.14,-0.07,0.9,348,0
2217,19.62,-3.88,-0.31,0.64,-0.37,-0.01,0.59,1.08,49,0
2218,97.94,-3.36,-0.2,1.71,0.7,0.68,-0.75,0.01,54,0
2219,7.19,-3.38,-0.59,0.14,0.13,0.2,0.51,1.1,367,0
2220,487.25,-2.15,2.24,1.46,0.81,-0.45,0.41,1.5,161,0
2221,130.54,2.11,1.83,0.65,1.6,0.05,-1.47,1.17,327,0
2222,121.68,1.49,-0.78,-2.11,0.46,0.29,-1.71,1.54,314,0
2223,489.82,2.49,-2.42,0.1,-0.02,-0.13,-0.86,0.7,64,0
2224,371.27,-0.6,-0.13,2.1,0.52,-0.5,-1.51,-0.06,207,0
2225,484.06,-0.12,-0.99,-1.33,-0.98,0.77,-2.96,-0.85,338,0
2226,399.22,-1.25,0.47,2.49,1.41,-0.22,-2.31,0.17,177,0
2227,485.79,-4.46,0.62,0.05,0.13,-0.99,0.76,1.72,455,0
2228,31.52,-0.42,1.82,-2.91,1.89,0.18,0.61,1.07,165,0
2229,485.49,-4.85,-1.84,-0.72,-0.28,-0.2,-0.2,1.76,245,0
2230,317.08,-1.82,-1.77,1.99,-0.58,-0.92,-1.35,1.82,381,0
2231,179.45,0.06,1.95,0.47,0.42,0.08,0.4,1.01,73,0
2232,131.03,-1.59,-1.87,1.68,0.13,-0.94,-1.1,1.74,408,0
2233,248.83,0.17,0.05,-1.94,-0.41,0.55,-0.75,0.71,159,0
2234,406.99,-1.11,1.27,-0.87,1.65,0.36,-2.27,1.55,114,0
2235,358.91,-4.79,0.75,2.08,1.29,0.39,0.43,0.67,321,0
2236,73.78,2.47,-2.94,0.19,0.33,0.53,-1.32,1.59,247,0
2237,311.2,-3.9,0.84,-0.51,0.16,0.77,-0.18,0.1,383,0
2238,86.72,-1.17,1.29,-2.74,0.65,0.33,0.04,1.83,433,0
2239,298.18,2.54,0.11,-1.16,1.36,0.41,-2.04,1.46,146,0
2240,171.54,-0.32,0.12,-1.69,0.85,-0.28,0.54,0.4,394,0
2241,439.81,-3.32,1.48,-1.66,0.42,0.73,-1.12,1.65,97,0
2242,188.04,1.22,-0.01,-0.88,-0.53,0.08,0.27,-0.45,59,0
2243,152.82,-4.47,1.0,-0.15,-0.76,0.94,-2.37,0.08,488,0
2244,82.7,-1.84,1.93,2.16,-0.23,-0.05,-2.28,-0.3,379,0
2245,380.21,-5.0,-0.8,0.8,0.47,-0.89,-1.45,-0.24,398,0
2246,452.73,-0.34,1.65,-0.8,0.38,-0.11,0.3,1.94,44,0
2247,359.56,-0.83,0.42,-2.5,0.99,-0.73,-2.25,1.09,367,0
2248,308.06,-3.35,-1.49,2.08,1.61,0.67,-2.65,-0.19,18,0
2249,63.39,-3.86,1.98,-0.65,-0.27,-0.94,-1.3,-0.78,235,0
2250,69.4,2.34,2.74,2.62,1.98,0.95,-1.47,1.35,57,0
2251,218.5,-4.99,-1.83,2.6,-0.33,-0.76,0.92,1.72,377,0
2252,380.51,-3.33,2.05,-2.41,0.89,0.28,0.78,-0.26,117,0
2253,302.86,-2.41,-2.63,-0.3,0.19,-0.69,-0.62,0.08,6,0
2254,206.44,1.1,0.97,1.02,1.46,0.68,-1.8,-0.8,310,0
2255,193.24,-1.4,2.54,2.31,1.57,0.25,-2.98,-0.56,494,0
2256,153.29,-2.75,-2.53,2.3,-0.78,0.17,0.11,-0.68,40,0
2257,331.2,2.25,1.97,0.74,0.16,-0.18,-1.91,0.39,231,0
2258,234.21,-3.9,1.65,-2.39,0.66,-0.49,-0.35,-0.25,52,0
2259,66.38,-2.14,-2.4,-2.25,0.98,-0.98,0.5,1.5,498,0
2260,222.16,-4.13,0.96,-1.19,0.99,0.44,-2.86,-0.7,484,0
2261,431.99,-2.04,1.45,-0.19,1.68,-0.16,-2.15,-0.66,37,0
2262,178.55,0.69,0.74,1.48,1.41,-0.25,-0.51,-0.33,325,0
2263,261.94,-3.29,0.06,0.25,1.39,-0.25,-2.93,1.57,264,0
2264,472.67,0.69,-2.05,-1.92,-0.58,-0.72,-0.6,-0.51,197,0
2265,304.48,-2.96,-2.55,0.46,1.96,-0.27,-0.88,0.52,52,0
2266,160.18,2.67,-2.23,0.9,0.22,-0.59,-1.66,0.62,499,0
2267,153.28,2.16,2.09,-0.83,0.67,0.13,-1.1,0.45,254,0
2268,340.33,-2.55,0.74,1.3,0.85,-0.66,0.73,-0.55,25,0
2269,109.48,-2.73,1.33,0.93,1.89,0.85,-2.16,1.37,302,0
2270,119.11,-2.23,-1.25,2.37,1.48,-0.94,-2.05,-0.64,407,0
2271,248.43,0.03,0.97,-1.95,0.89,-0.85,-2.78,0.17,418,0
2272,331.92,0.73,-1.58,-1.55,0.05,-0.93,-2.41,0.65,380,0
2273,238.19,-3.92,-1.92,1.41,0.85,-0.77,-0.14,1.08,221,0
2274,33.61,1.02,0.68,1.84,-0.36,-0.81,-0.43,1.01,97,0
2275,98.16,-2.23,0.63,2.82,1.9,-0.73,-1.44,1.41,480,0
2276,208.67,0.34,-1.91,-1.98,-0.79,0.6,-0.21,0.17,57,0
2277,89.71,0.28,1.95,-0.15,0.36,-0.36,-2.29,-0.97,471,0
2278,295.03,0.76,0.66,-0.21,0.05,-0.98,-2.19,0.48,242,0
2279,33.55,-0.88,-2.17,1.68,-0.13,0.65,-2.16,-0.46,125,0
2280,191.89,-0.04,2.21,0.12,0.66,-0.57,-0.69,-0.19,407,0
2281,232.15,-2.96,1.7,-1.38,-0.63,0.48,-0.94,0.24,232,0
2282,94.68,-2.46,-0.68,0.85,0.16,0.43,-0.74,0.51,487,0
2283,260.35,-0.98,0.02,0.76,0.49,-0.94,0.78,1.35,375,0
2284,152.84,0.7,-1.8,-1.42,0.93,-0.84,-1.75,0.59,30,0
2285,160.11,1.22,-2.36,-2.24,-0.66,-0.6,-2.65,0.63,290,0
2286,495.28,-2.06,-2.07,1.75,1.11,-0.48,-0.54,1.7,220,0
2287,396.51,-1.86,-1.95,0.38,0.19,0.53,0.05,0.65,60,0
2288,60.24,-2.89,-2.12,1.74,0.62,-0.7,-2.83,1.29,248,0
2289,162.96,-0.94,-2.36,-2.65,1.05,-0.07,-2.31,1.82,326,0
2290,179.85,-0.33,-2.08,-2.1,1.0,-0.23,0.65,1.97,45,0
2291,145.41,-4.49,2.63,-1.81,0.54,-0.23,0.37,-0.91,270,0
2292,218.54,2.29,2.87,-1.65,1.74,-0.15,-1.99,-0.65,173,0
2293,506.57,-1.55,-1.58,2.83,1.0,-0.28,-0.02,1.09,279,0
2294,179.98,-2.54,-0.28,0.59,0.01,-0.5,-1.99,1.73,204,0
2295,277.25,0.42,0.44,-0.1,0.4,-0.97,0.55,0.52,445,0
2296,337.09,2.98,0.55,-2.32,1.21,-0.1,-1.47,1.6,197,0
2297,205.69,0.45,2.96,-2.78,1.74,-0.56,-2.86,-0.77,51,0
2298,243.19,0.42,0.93,0.81,0.41,0.89,-0.44,-0.24,364,0
2299,458.62,-4.96,-2.12,1.5,1.75,0.16,-1.05,0.73,413,0
2300,68.66,-1.94,1.81,-2.07,1.6,0.91,-2.53,-0.62,413,0
2301,408.87,-1.01,2.21,-1.66,1.16,-0.6,0.07,-0.94,40,0
2302,34.94,-2.27,1.9,-0.49,-0.02,0.51,-0.02,0.22,494,0
2303,131.92,0.88,2.88,-2.33,0.22,-0.55,-1.02,-0.45,116,0
2304,422.45,2.04,-2.47,1.97,1.78,-0.22,-1.53,-0.16,117,0
2305,460.04,-0.35,1.71,-2.47,0.42,0.46,0.22,0.98,290,0
2306,6.19,-0.47,-0.36,-1.37,1.85,-0.75,-2.47,0.56,67,0
2307,309.99,2.79,-0.56,-0.97,0.68,0.21,-2.71,0.4,427,0
2308,404.73,1.32,-2.26,-1.49,0.85,-0.16,-2.77,1.9,470,0
2309,408.12,-2.3,-2.85,-0.49,0.64,0.87,-0.98,-0.01,426,0
2310,414.66,-0.58,1.18,1.01,-0.56,0.4,-1.64,0.63,348,0
2311,99.64,-3.86,-2.04,-1.66,0.23,-0.31,0.25,1.0,17,0
2312,304.57,0.14,-1.95,-1.95,-0.96,0.23,-1.34,-0.05,375,0
2313,444.35,-0.03,-2.75,-2.37,1.57,0.69,-2.03,0.11,74,0
2314,411.05,-2.37,-1.91,-1.63,0.86,0.18,-0.88,-0.58,20,0
2315,18.57,-0.15,-0.34,-1.7,0.81,0.77,-1.63,-0.75,379,0
2316,37.27,-1.7,1.7,-2.48,1.43,0.34,-1.92,0.74,370,0
2317,70.93,0.76,-0.57,-1.62,-0.23,0.48,-1.84,0.46,46,0
2318,160.43,-2.95,-1.71,1.28,0.01,0.9,-1.74,1.43,490,0
2319,211.49,-1.82,0.85,0.94,1.37,-0.38,-1.31,1.93,282,0
2320,1.61,-4.6,0.76,1.58,1.18,0.9,-2.12,-0.08,222,0
2321,405.18,-4.82,1.94,-1.68,-0.51,-0.36,-0.13,1.22,289,0
2322,294.38,2.13,-2.67,2.29,1.03,0.24,-1.59,-0.66,365,0
2323,279.72,1.57,1.2,-0.01,0.5,0.81,-2.76,1.4,320,0
2324,383.73,-3.41,0.31,-0.33,1.59,0.79,0.72,0.48,118,0
2325,467.91,-3.3,0.65,2.93,1.44,0.55,-1.77,0.56,343,0
2326,442.56,0.78,1.01,-0.58,-0.58,-0.37,-2.7,0.85,174,0
2327,262.29,-3.14,-2.11,1.46,-0.49,-0.19,-0.71,-0.42,420,0
2328,295.74,-4.53,1.55,-0.56,0.32,0.47,-0.74,-0.26,317,0
2329,71.54,0.63,0.69,-0.8,0.72,-0.6,0.78,1.72,317,0
2330,90.87,2.25,2.91,1.16,1.72,-0.01,-1.63,1.84,177,0
2331,319.75,-2.94,-2.26,0.38,1.3,0.28,-0.27,1.63,404,0
2332,251.16,-2.2,-0.79,-2.5,-0.58,-0.22,-2.24,0.99,438,0
2333,508.95,-3.16,-1.6,0.65,1.7,0.49,-1.11,1.84,334,0
2334,280.94,1.91,-2.36,2.05,0.21,0.35,-1.43,1.95,89,0
2335,468.94,0.29,-2.06,-0.53,1.72,-0.87,-2.44,-0.52,322,0
2336,231.53,-1.34,-0.7,0.17,0.03,0.42,-0.78,-0.17,134,0
2337,340.05,-3.76,2.22,-0.92,1.98,-0.05,0.6,-0.58,209,0
2338,369.3,-2.34,-2.27,-2.96,1.57,-0.58,-2.18,0.98,355,0
2339,467.11,2.51,-1.49,0.19,-0.19,-0.95,-0.29,0.85,242,0
2340,263.0,1.19,1.63,1.37,1.93,-0.89,-2.65,0.23,422,0
2341,271.0,-2.72,-1.07,2.54,0.75,0.51,-0.66,-0.0,186,0
2342,262.43,-1.51,-0.42,0.54,0.92,-0.27,0.38,0.23,108,0
2343,371.59,-4.7,1.92,-2.52,0.4,-0.1,-1.13,1.77,38,0
2344,158.3,-0.22,2.25,-1.34,-0.48,0.36,-1.37,1.14,69,0
2345,479.57,1.4,-0.86,2.67,-0.3,-0.19,-0.15,0.99,327,0
2346,208.96,-2.52,1.87,0.82,1.3,-0.79,-2.01,1.58,457,0
2347,329.44,-1.47,-2.5,-1.93,1.01,0.43,-0.79,1.51,238,0
2348,402.18,-3.01,0.46,2.97,1.18,0.78,-1.12,-0.82,350,0
2349,304.53,0.55,-0.11,1.6,0.79,0.87,0.13,0.6,282,0
2350,26.65,1.58,-2.75,-2.18,0.77,0.1,-2.65,0.51,111,0
2351,140.82,1.1,0.88,-2.79,1.46,-0.39,-1.04,1.0,16,0
2352,257.06,-3.35,-2.55,2.59,1.14,-0.39,0.87,0.82,130,0
2353,17.75,1.38,-0.99,-0.89,0.83,-0.45,-0.82,-0.19,220,0
2354,44.83,-3.62,-0.67,0.7,-0.9,-0.18,0.0,0.83,237,0
2355,154.45,2.25,0.58,-2.59,1.48,-0.57,-0.95,-0.96,269,0
2356,81.97,-3.99,-1.85,-1.86,-0.44,0.75,-1.7,0.03,192,0
2357,75.27,-2.11,-1.49,2.57,-0.2,0.56,-1.83,0.37,457,0
2358,98.46,1.35,-1.33,1.32,1.34,-0.75,0.29,1.66,474,0
2359,277.64,0.75,2.29,-2.72,0.91,0.19,-2.7,0.94,415,0
2360,424.73,0.29,2.38,0.77,1.71,0.83,-2.63,-0.05,137,0
2361,494.9,-2.75,-1.78,-1.49,1.57,-0.13,0.5,-0.91,240,0
2362,406.81,-4.24,-0.23,-1.87,-0.23,0.75,0.01,1.95,327,0
2363,132.06,1.93,-2.23,1.18,-0.76,-0.04,0.27,-0.01,112,0
2364,426.78,-2.76,-0.4,2.17,1.83,0.82,-0.0,-0.02,101,0
2365,233.94,-1.44,-1.31,-1.91,1.8,-0.2,-2.0,1.49,489,0
2366,88.78,-2.9,1.02,2.56,0.97,0.76,-1.28,0.42,251,0
2367,23.54,-2.39,0.06,-2.16,1.81,-0.91,-1.46,1.99,313,0
2368,19.46,-1.1,-2.41,2.73,-0.81,-0.08,0.74,-0.15,48,0
2369,309.46,-0.35,-0.96,-2.15,-0.06,0.05,0.66,0.54,128,0
2370,502.47,2.21,-0.27,2.55,-0.09,-0.7,0.23,-0.76,351,0
2371,117.92,-1.92,-2.15,-0.38,-0.59,-0.7,-0.15,0.61,340,0
2372,378.71,0.02,-1.05,2.73,-0.63,0.69,-0.85,0.84,498,0
2373,220.06,2.71,-2.96,-0.54,1.74,0.04,-1.06,0.63,7,0
2374,31.24,0.99,-0.37,0.99,0.91,0.97,-0.58,-0.83,51,0
2375,510.03,-1.84,1.3,2.28,0.21,0.97,-1.86,1.55,264,0
2376,359.27,-4.73,-2.39,1.03,0.71,0.76,-0.57,-0.82,131,0
2377,222.28,2.11,-1.36,-1.33,0.59,0.66,-0.6,-0.1,192,0
2378,121.0,-3.44,2.56,-0.05,0.64,-0.93,-0.16,-0.09,473,0
2379,344.12,2.92,-2.37,2.42,0.29,0.08,-0.87,1.19,233,0
2380,76.07,-3.59,-1.07,-1.93,1.48,0.41,-0.07,1.8,241,0
2381,363.1,-2.67,-2.67,1.42,0.53,-0.53,-0.34,-0.4,214,0
2382,247.54,2.05,-2.44,-0.44,0.33,0.96,-0.29,-0.51,457,0
2383,160.28,2.55,1.0,-2.86,0.9,-0.27,-0.37,0.41,391,0
2384,235.73,1.16,1.7,0.99,0.85,-0.73,-1.49,-0.85,339,0
2385,37.65,2.32,0.89,-1.74,1.27,-0.61,-0.19,1.56,107,0
2386,259.32,-0.9,1.28,-2.08,1.36,0.72,0.21,-0.56,275,0
2387,416.99,-4.15,-0.95,-1.92,0.36,0.53,-1.29,-0.26,192,0
2388,6.79,1.59,-1.37,2.03,-0.32,-0.39,-1.08,0.46,269,0
2389,391.81,1.4,2.19,-1.56,-0.42,0.76,0.84,1.92,289,0
2390,93.3,-1.92,2.68,2.07,1.66,-0.86,0.67,-0.25,13,0
2391,397.19,1.77,-1.95,2.38,0.68,-0.25,-2.92,-0.4,482,0
2392,335.05,-3.57,1.96,-1.01,0.5,-0.09,0.83,0.0,382,0
2393,181.75,-1.13,-1.42,-0.23,0.58,-0.32,-2.92,1.86,493,0
2394,141.15,2.34,-0.66,-0.3,-0.54,0.88,-0.6,-0.39,7,0
2395,28.97,-3.77,2.45,-2.72,0.11,-0.01,-2.9,0.14,193,0
2396,210.64,-2.31,1.79,-1.32,-0.52,0.06,-1.37,-0.3,259,0
2397,476.02,-0.26,-1.25,2.15,1.02,0.6,-2.2,-0.3,380,0
2398,475.5,-1.38,1.29,0.34,1.4,0.04,-0.08,1.39,148,0
2399,115.13,-3.87,-0.13,0.54,0.77,-0.57,-0.04,0.01,281,0
2400,267.28,0.33,1.25,-1.86,0.13,-0.17,-1.82,0.28,145,0
2401,179.12,-4.7,2.2,-2.46,0.96,-0.18,-2.4,0.65,111,0
2402,506.95,-2.63,0.24,2.15,0.76,0.2,-1.92,0.41,168,0
2403,20.42,-1.95,1.66,0.46,-0.23,-0.37,0.65,1.66,77,0
2404,133.93,1.42,0.83,-1.13,-0.32,-0.36,-2.11,-0.24,20,0
2405,511.76,2.75,1.49,2.19,0.69,0.76,-1.9,-0.7,242,0
2406,232.85,-3.12,-0.36,1.78,-0.64,-0.59,0.27,1.14,402,0
2407,365.09,2.62,-1.27,-0.09,1.6,-0.85,-1.46,0.99,415,0
2408,475.05,2.64,-1.94,1.73,0.6,0.5,-1.88,0.1,213,0
2409,381.45,-1.69,2.76,0.12,-0.25,0.79,-1.59,-0.81,79,0
2410,385.58,1.93,2.7,-2.17,1.06,0.63,-2.7,-0.17,462,0
2411,459.1,-0.71,-0.77,-2.1,1.0,0.5,-2.06,0.7,490,0
2412,370.97,-0.51,-0.24,0.17,0.93,-0.28,-0.18,1.41,64,0
2413,187.78,-0.83,1.47,-1.45,-0.37,0.97,-0.74,-0.88,403,0
2414,159.2,-4.11,-2.22,-0.53,1.61,-0.49,-0.67,-0.84,105,0
2415,269.78,2.53,-0.18,-2.32,1.65,0.36,0.0,-0.59,483,0
2416,308.64,-4.01,-1.55,0.79,-0.7,0.73,-1.29,1.58,110,0
2417,400.73,-2.81,-2.77,-1.82,1.95,0.77,-1.2,0.56,212,0
2418,149.37,-0.79,1.75,2.81,-0.73,0.17,0.33,-0.71,242,0
2419,240.23,-1.64,2.04,1.53,1.23,0.77,0.65,0.31,97,0
2420,81.75,-1.03,2.73,2.31,0.34,0.98,-0.76,1.6,477,0
2421,434.57,-0.28,0.31,1.14,-0.06,-0.01,-0.99,0.51,180,0
2422,158.37,-1.4,2.99,0.91,-0.13,0.2,-1.36,1.35,22,0
2423,308.17,-3.63,0.52,2.48,1.62,-0.19,0.24,1.86,271,0
2424,155.83,-3.56,-2.18,2.34,-0.31,-0.59,-1.54,-0.85,208,0
2425,316.68,-1.62,-1.4,-1.02,1.96,0.56,-0.77,-0.59,184,0
2426,457.77,-2.33,2.25,-1.11,0.41,0.77,-1.79,0.69,204,0
2427,9.23,-4.79,1.72,-1.5,-0.12,0.3,-2.03,1.99,405,0
2428,188.61,-0.36,2.17,2.89,1.81,-0.97,0.57,-0.97,262,0
2429,434.91,-4.4,2.53,-0.46,1.08,0.31,0.41,0.85,199,0
2430,150.71,2.63,-1.37,0.72,-0.39,-0.31,-0.26,1.79,96,0
2431,331.45,2.96,-2.12,2.96,0.85,-0.28,-1.94,0.89,344,0
2432,29.16,-1.44,-1.76,-2.29,-0.13,0.83,-1.64,0.55,325,0
2433,241.27,2.81,2.0,1.04,0.52,0.1,-1.0,-0.49,259,0
2434,249.83,-0.61,-0.17,-0.3,-0.97,0.94,-0.38,0.07,250,0
2435,489.46,-1.62,2.49,2.6,1.4,-0.57,-2.53,0.38,308,0
2436,170.96,-0.2,-1.61,2.53,1.83,0.41,-2.27,-0.2,321,0
2437,61.32,-1.47,-2.74,2.01,-0.97,0.2,-1.76,1.04,166,0
2438,457.09,2.91,0.29,0.25,0.33,0.76,-2.67,0.96,70,0
2439,500.3,-3.45,2.08,-0.75,-0.51,0.87,-1.47,0.14,36,0
2440,366.75,2.83,0.92,0.2,0.59,-0.96,-0.93,1.21,391,0
2441,419.15,2.25,0.05,2.08,0.67,-0.15,-0.26,1.17,341,0
2442,231.67,-3.01,-0.57,0.38,1.15,0.72,0.83,1.88,468,0
2443,353.12,-2.14,-1.63,2.49,1.34,0.32,-2.42,0.38,85,0
2444,277.74,-4.2,-1.51,1.12,-0.23,0.59,-1.23,0.38,299,0
2445,3.68,2.49,-1.87,1.8,1.43,-0.49,-2.88,0.85,310,0
2446,200.7,-2.11,-1.83,-2.36,-0.62,0.24,-1.75,1.99,352,0
2447,406.51,-1.78,0.92,-2.08,1.01,0.74,-1.6,0.15,438,0
2448,194.56,-0.74,-2.02,1.52,-0.42,-0.99,-0.41,1.06,256,0
2449,97.73,-4.42,-2.81,0.72,0.58,0.27,-1.79,0.21,50,0
2450,223.33,-3.87,2.11,2.6,-0.48,0.9,-1.1,1.35,397,0
2451,390.3,-4.25,-1.51,1.81,1.94,0.91,0.25,0.5,5,0
2452,116.02,-4.4,-0.25,-1.76,-0.36,0.47,0.46,-0.09,428,0
2453,436.81,1.37,-0.85,0.56,0.58,-0.35,0.14,-0.97,428,0
2454,248.0,1.98,2.8,-0.82,-0.53,-0.34,-1.09,-0.04,45,0
2455,343.88,-3.66,-2.86,1.84,-0.98,-0.7,-1.96,1.33,479,0
2456,106.81,-4.72,0.8,1.33,1.04,0.82,0.2,-0.88,268,0
2457,363.56,1.89,1.32,1.88,-0.31,-0.66,-1.52,1.98,127,0
2458,129.36,-1.62,1.55,-1.67,0.68,0.5,-2.13,-0.43,377,0
2459,365.04,-4.64,1.58,-1.24,0.03,-0.76,-0.69,-0.45,477,0
2460,510.59,0.68,2.86,1.92,0.19,0.62,-2.57,1.14,46,0
2461,2.58,-2.85,-2.68,0.28,1.27,0.51,0.14,1.69,434,0
2462,510.39,-0.97,2.31,-1.52,1.7,-0.35,-2.12,-0.74,192,0
2463,167.32,-0.21,-0.83,2.39,1.15,-0.09,-0.21,0.83,281,0
2464,109.99,-2.25,0.86,0.36,0.1,-0.69,-0.0,-0.29,427,0
2465,287.14,2.97,0.84,-1.59,0.64,0.66,-1.67,-0.02,407,0
2466,343.35,-1.97,0.82,-1.77,0.97,0.75,-2.4,1.39,200,0
2467,440.32,-0.11,-1.03,2.8,1.13,-0.94,0.65,-0.19,200,0
2468,238.95,-3.96,-0.19,2.17,-0.82,0.41,0.81,-0.12,149,0
2469,115.2,-2.9,-1.88,-1.89,0.12,-0.86,-1.91,-0.64,376,0
2470,112.42,-4.74,-2.22,-1.33,1.67,0.44,-0.66,-0.29,499,0
2471,242.34,2.62,2.79,-0.34,0.75,0.9,-2.35,-0.44,478,0
2472,511.58,-3.37,1.47,-1.05,-0.27,0.69,-1.5,-0.22,230,0
2473,392.19,-4.37,-2.37,-1.92,1.83,0.05,-2.23,-0.09,379,0
2474,36.98,-3.07,2.94,-1.72,-0.9,0.65,-2.22,1.16,269,0
2475,300.25,-4.34,2.49,-0.31,-0.46,0.43,-1.73,-0.12,166,0
2476,484.05,-0.58,-1.63,1.86,1.72,-0.13,-0.2,-0.43,66,0
2477,60.07,0.37,1.26,0.62,-0.18,0.88,0.63,-0.56,119,0
2478,253.08,1.61,0.68,0.37,-0.87,0.56,-1.26,0.42,375,0
2479,509.97,1.55,-2.69,-0.77,0.34,0.01,-1.02,1.04,385,0
2480,280.67,-0.73,-2.62,-2.72,0.71,0.81,0.83,-0.33,422,0
2481,106.85,1.12,-1.81,-0.24,0.77,0.99,0.72,0.7,390,0
2482,432.28,-2.84,1.4,-2.29,0.09,-0.03,-2.98,0.54,275,0
2483,502.72,-4.25,0.26,-0.8,-0.89,-0.39,0.79,1.0,259,0
2484,415.14,1.15,1.77,-2.91,-0.12,0.82,0.87,1.03,32,0
2485,314.82,-4.8,1.53,2.49,1.31,0.78,-1.67,-0.53,455,0
2486,286.25,-1.02,2.44,-2.38,0.46,-0.61,-1.31,1.91,143,0
2487,192.42,-1.17,1.99,-2.92,0.32,0.14,-1.11,1.6,334,0
2488,427.73,1.95,-1.44,1.22,0.62,-0.44,-2.26,0.47,474,0
2489,78.94,2.58,-2.43,1.08,-0.65,0.92,-2.23,-0.82,217,0
2490,333.38,-3.21,-0.6,1.53,0.64,0.84,0.97,1.16,484,0
2491,235.71,1.67,2.48,-2.12,1.19,0.63,-0.43,1.54,455,0
2492,458.18,1.23,-2.51,-0.94,-0.78,-0.0,-2.82,-0.44,403,0
2493,495.33,-2.43,0.52,0.95,1.89,0.81,0.34,0.48,487,0
2494,229.26,-0.72,1.93,-2.61,1.94,-0.44,-1.9,-0.19,259,0
2495,214.86,-4.57,2.32,1.51,1.18,-0.33,0.47,-0.79,376,0
2496,113.57,-4.45,-2.87,1.26,1.72,-0.16,-1.6,1.58,137,0
2497,486.34,-1.78,-0.2,2.33,-0.87,0.75,-2.54,0.41,258,0
2498,123.06,-4.42,-2.12,0.92,1.41,-0.34,-1.17,-0.37,162,0
2499,407.54,-2.74,-0.8,2.24,0.95,0.9,-0.24,-0.78,61,0
2500,7.13,2.08,2.41,2.82,1.68,-0.92,-0.59,0.43,438,0
2501,472.49,-3.38,2.04,-1.09,1.13,-0.38,-1.7,1.54,79,0
2502,490.61,1.53,-2.86,-1.96,-0.83,0.17,0.19,1.03,467,0
2503,317.55,-4.71,-2.98,1.74,0.61,-0.01,-2.02,0.18,187,0
2504,138.71,0.41,0.26,-1.93,1.49,-0.81,-1.04,-0.61,120,0
2505,218.69,-2.29,2.07,-0.92,0.94,-0.85,-1.68,1.28,164,0
2506,122.63,-3.55,0.34,0.87,-0.93,-0.16,0.27,-0.06,56,0
2507,412.63,1.93,1.19,-0.24,1.22,-0.87,-2.2,1.45,105,0
2508,509.09,-3.46,0.54,0.07,0.36,0.6,-2.51,0.24,341,0
2509,400.24,1.43,2.04,-0.92,1.53,0.39,-2.57,0.37,286,0
2510,78.76,2.13,-1.08,-0.61,-0.6,0.65,0.56,1.12,327,0
2511,493.55,-4.83,-1.79,-1.34,-0.51,-0.91,-2.21,0.31,233,0
2512,470.6,2.32,-2.39,0.21,-0.16,0.84,-0.76,0.52,254,0
2513,23.01,-0.62,-0.61,1.3,1.58,-0.69,-1.37,1.09,344,0
2514,52.76,1.79,-2.98,2.16,-0.54,0.63,-2.66,0.22,413,0
2515,294.38,1.09,0.33,-2.68,-0.0,0.19,0.93,0.34,445,0
2516,331.1,0.9,-0.7,0.0,0.24,-0.51,-1.47,-0.08,151,0
2517,52.25,-1.02,0.19,0.51,-0.07,-0.7,-2.3,1.88,483,0
2518,165.87,1.14,2.75,1.55,1.44,-0.53,-0.05,0.32,437,0
2519,62.14,-0.1,1.94,2.18,0.99,-0.17,0.37,1.75,1,0
2520,412.76,2.81,2.12,0.27,1.8,-0.64,-2.42,0.79,207,0
2521,235.46,0.88,-0.33,0.44,-0.03,0.69,-1.52,-0.76,396,0
2522,86.66,-1.65,2.64,1.26,0.05,-0.43,-1.66,1.59,490,0
2523,61.69,-1.59,-1.01,0.76,-0.62,-0.35,-0.14,0.24,162,0
2524,12.39,-2.37,0.21,0.35,0.6,-0.27,-1.32,0.03,494,0
2525,283.0,-4.17,-1.06,1.55,1.01,-0.59,-1.64,1.4,55,0
2526,226.88,0.72,0.17,0.36,1.4,-0.98,-2.2,0.82,438,0
2527,364.12,2.82,1.03,0.46,1.51,0.03,-2.12,-0.44,417,0
2528,373.91,2.74,-1.96,-1.33,-0.55,-0.52,-1.67,0.93,276,0
2529,473.0,-3.74,0.62,-0.21,-0.61,-0.12,-1.62,0.89,390,0
2530,397.96,-2.3,1.69,-2.34,-0.52,0.38,-0.1,-0.87,444,0
2531,335.26,1.81,-1.72,-0.8,1.89,-0.29,0.38,0.43,148,0
2532,511.0,1.66,0.76,-2.66,0.18,0.39,0.18,0.98,290,0
2533,148.42,0.99,-1.2,0.83,0.77,0.88,0.7,0.49,270,0
2534,196.87,-2.64,1.21,0.24,0.8,0.6,-0.55,-0.44,324,0
